Energy Source,Factor,Electricity Generation
Geo-thermal,Economically Viable,2
Geo-thermal,Low Negative Externalities,5
Geo-thermal,Broadly Deployable,3
Geo-thermal,Flexible,4
Geo-thermal,Rapid to Build,2
Geo-thermal,Reliable & Predictable,5
Geo-thermal,Low Liability,5
Biomass,Economically Viable,4
Biomass,Low Negative Externalities,3
Biomass,Broadly Deployable,4
Biomass,Flexible,5
Biomass,Rapid to Build,4
Biomass,Reliable & Predictable,4
Biomass,Low Liability,4
Wave,Economically Viable,1
Wave,Low Negative Externalities,4
Wave,Broadly Deployable,3
Wave,Flexible,4
Wave,Rapid to Build,4
Wave,Reliable & Predictable,3
Wave,Low Liability,4
Tidal,Economically Viable,2
Tidal,Low Negative Externalities,4
Tidal,Broadly Deployable,3
Tidal,Flexible,4
Tidal,Rapid to Build,4
Tidal,Reliable & Predictable,4
Tidal,Low Liability,4
Hydro,Economically Viable,4
Hydro,Low Negative Externalities,3
Hydro,Broadly Deployable,3
Hydro,Flexible,4
Hydro,Rapid to Build,2
Hydro,Reliable & Predictable,5
Hydro,Low Liability,3
Solar ,Economically Viable,4
Solar ,Low Negative Externalities,5
Solar ,Broadly Deployable,5
Solar ,Flexible,5
Solar ,Rapid to Build,5
Solar ,Reliable & Predictable,4
Solar ,Low Liability,5
Wind,Economically Viable,5
Wind,Low Negative Externalities,5
Wind,Broadly Deployable,5
Wind,Flexible,5
Wind,Rapid to Build,5
Wind,Reliable & Predictable,4
Wind,Low Liability,5
Coal,Economically Viable,4
Coal,Low Negative Externalities,1
Coal,Broadly Deployable,4
Coal,Flexible,2
Coal,Rapid to Build,2
Coal,Reliable & Predictable,5
Coal,Low Liability,1
Nuclear,Economically Viable,1
Nuclear,Low Negative Externalities,4
Nuclear,Broadly Deployable,2
Nuclear,Flexible,1
Nuclear,Rapid to Build,1
Nuclear,Reliable & Predictable,5
Nuclear,Low Liability,1
