,YEAR,STATE,GENERATION (Megawatthours)
30,2008,Arizona,14724.0
31,2008,California,670481.0
32,2008,Massachusetts,80.0
33,2008,North Carolina,1801.0
34,2008,Nevada,156013.0
35,2009,Arizona,14145.0
36,2009,California,647390.0
37,2009,Massachusetts,43.0
38,2009,North Carolina,4563.0
39,2009,Nevada,174309.0
40,2010,Arizona,15754.0
41,2010,California,769331.0
42,2010,Massachusetts,928.0
43,2010,North Carolina,11340.0
44,2010,Nevada,216917.0
45,2011,Arizona,83348.78
46,2011,California,888829.4
47,2011,Massachusetts,4764.47
48,2011,North Carolina,17380.45
49,2011,Nevada,291224.51
50,2012,Arizona,955443.0
51,2012,California,1382300.0
52,2012,Massachusetts,29614.0
53,2012,North Carolina,139491.0
54,2012,Nevada,473417.0
55,2013,Arizona,2111438.64
56,2013,California,3813724.79
57,2013,Massachusetts,106457.01
58,2013,North Carolina,344662.81
59,2013,Nevada,745382.0
60,2014,Arizona,3141507.86
61,2014,California,9931814.86
62,2014,Massachusetts,306321.39
63,2014,North Carolina,729130.48
64,2014,Nevada,1013682.0
65,2015,Arizona,3456608.0
66,2015,California,14814384.0
67,2015,Massachusetts,451366.0
68,2015,North Carolina,1373579.0
69,2015,Nevada,1657405.0
